time:2023-11-07 17:43:59.827197, weight:4823.365443465766
time:2023-11-07 17:49:26.373635, weight:1371.6969584076214
time:2023-11-07 17:55:01.726347, weight:4374.10521834003
time:2023-11-07 18:00:37.128972, weight:4434.37159051598
time:2023-11-07 18:06:12.138369, weight:4477.653742781873
time:2023-11-07 18:11:47.097077, weight:1222.1653050906093
time:2023-11-07 18:16:27.623443, weight:4817.693570043264
time:2023-11-07 18:22:02.493657, weight:4927.495151424735
time:2023-11-07 18:27:37.640117, weight:5012.830076085335
time:2023-11-07 18:33:13.537212, weight:4450.74344820727
time:2023-11-07 18:38:48.577607, weight:3962.603809239644
time:2023-11-07 18:44:23.772175, weight:3695.235963996221
time:2023-11-07 18:50:00.817340, weight:4388.308717489682
time:2023-11-07 18:55:35.733815, weight:4116.9874185688
time:2023-11-07 19:01:11.812787, weight:8094.3855984882375
time:2023-11-07 19:06:47.040124, weight:7019.642945944603
time:2023-11-07 19:12:21.803316, weight:6830.498781640063
time:2023-11-07 19:17:55.784204, weight:6718.906957083893
time:2023-11-07 19:23:31.414246, weight:6599.681734546721
time:2023-11-07 19:29:06.509312, weight:6617.932269133223
time:2023-11-07 19:34:41.384408, weight:6564.59794122035
time:2023-11-07 19:40:16.906739, weight:6517.678651350141
time:2023-11-07 19:45:51.614881, weight:6430.180516186782
time:2023-11-07 19:51:28.060698, weight:6438.808493709284
time:2023-11-07 19:57:03.010908, weight:6378.064548212244
time:2023-11-07 20:02:38.848136, weight:6368.839822964843
time:2023-11-07 20:08:13.995816, weight:6350.141727584663
time:2023-11-07 20:13:49.548369, weight:13319.160574866977
time:2023-11-07 20:19:24.808172, weight:13424.138445472176
time:2023-11-07 20:25:00.386126, weight:13615.197175394103
time:2023-11-07 21:22:00.294839, weight:4953.091015969433
time:2023-11-07 21:24:58.699437, weight:5005.362534802557
time:2023-11-07 21:36:25.241496, weight:5203.681460572938
